Total_Reward,Total_Loss,Total_Accuracy,Steps,Epsilons
-248.6281807202171,0.0,0.0,102.0,1.0
-403.492695421704,0.0,0.0,91.0,0.995
-169.9326840725301,0.0,0.0,86.0,0.990025
-180.7766038680984,0.0,0.0,89.0,0.985074875
-368.74929348027086,0.0,0.0,80.0,0.9801495006250001
-98.01054866682925,0.0,0.0,70.0,0.9752487531218751
-145.55948803355892,0.0,0.0,62.0,0.9703725093562657
-178.05979910963816,0.0,0.0,79.0,0.9655206468094844
-233.0459012198387,0.0,0.0,55.0,0.960693043575437
-204.00791522254696,0.0,0.0,77.0,0.9558895783575597
-118.49798633389295,0.0,0.0,62.0,0.9511101304657719
-386.1006624108089,0.0,0.0,128.0,0.946354579813443
-295.6028284127739,3156.7494611740112,52.6875,98.0,0.9416228069143757
-160.08949488604986,2141.5057007670403,74.71875,106.0,0.9369146928798039
-115.59805378881103,2851.205967962742,55.65625,73.0,0.9322301194154049
-157.60486735582563,3357.6450827121735,75.84375,97.0,0.9275689688183278
-313.3889708403079,3453.8577569127083,84.84375,109.0,0.9229311239742362
-151.90821765212903,2908.490916132927,61.90625,78.0,0.918316468354365
-78.07523260236435,2508.8628210425377,64.5625,81.0,0.9137248860125932
-269.910788828912,1860.647859275341,65.25,77.0,0.9091562615825302
-392.0009868756316,2283.7880430817604,65.375,79.0,0.9046104802746175
-189.72202468610232,2857.806224524975,87.25,107.0,0.9000874278732445
-237.74021654891862,2827.0360002815723,75.5625,94.0,0.8955869907338783
-230.3694071582511,2249.1011380255222,59.75,73.0,0.8911090557802088
-439.82141859938656,3352.5030940175056,89.0,109.0,0.8866535105013078
-141.22018564117468,3227.3941432088614,90.4375,114.0,0.8822202429488013
-85.90161822358041,2392.6651113927364,70.6875,89.0,0.8778091417340573
-116.74799579882371,4172.795054465532,103.53125,134.0,0.8734200960253871
-59.67188313662075,2662.334440857172,71.75,85.0,0.8690529955452602
-113.31795512261554,2234.3246390223503,65.5625,78.0,0.8647077305675338
-108.92090087644445,1835.8885095864534,70.84375,85.0,0.8603841919146962
-287.10703293450405,2789.4792250692844,93.96875,113.0,0.8560822709551227
-189.38035984994565,2644.865539431572,68.0625,83.0,0.851801859600347
-420.2768857130373,2082.059262394905,71.5625,86.0,0.8475428503023453
-402.8374369567833,2105.521834567189,91.65625,107.0,0.8433051360508336
-292.3999729557885,2324.178370386362,68.65625,81.0,0.8390886103705794
-169.32561019865392,1385.586670011282,64.625,78.0,0.8348931673187264
-158.63324230787998,1821.2592083215714,63.28125,75.0,0.8307187014821328
-160.127369205634,2373.5151850283146,90.5,109.0,0.8265651079747222
-146.5028021342541,3023.081683665514,101.15625,116.0,0.8224322824348486
-230.67637561494627,2988.346613496542,122.78125,143.0,0.8183201210226743
-273.47184865877574,2202.0315250754356,93.375,109.0,0.8142285204175609
-246.88085969630777,1377.2594654858112,58.90625,70.0,0.810157377815473
-115.6936955727934,2683.8674246370792,87.125,103.0,0.8061065909263957
-121.90588337815566,1671.241705417633,82.46875,94.0,0.8020760579717637
-308.03486997236996,1708.809863641858,83.5,96.0,0.798065677681905
-159.35767503643947,2404.6606371700764,106.65625,122.0,0.7940753492934954
-275.40543240197064,2339.2448582798243,91.0625,105.0,0.7901049725470279
-80.72535928413724,1036.91943192482,57.78125,65.0,0.7861544476842928
