Total_Reward,Total_Loss,Total_Accuracy,Steps,Epsilons
-149.40285905077317,0.0,0.0,83.0,1.0
-187.90480539533328,0.0,0.0,76.0,0.999
-221.78455767431245,0.0,0.0,111.0,0.998
-208.6024268573883,0.0,0.0,108.0,0.997
-90.75655892340674,0.0,0.0,98.0,0.996
-110.60351546994904,0.0,0.0,78.0,0.995
-334.99052560679274,0.0,0.0,112.0,0.994
-247.8344929198867,0.0,0.0,59.0,0.993
-210.73248804293573,0.0,0.0,84.0,0.992
-165.71512632422093,0.0,0.0,104.0,0.991
-160.22275930851288,81.15131139755249,0.9375,88.0,0.99
-144.4613987828782,2674.279060855508,104.0,139.0,0.989
-251.36453616496527,1876.5924183279276,67.03125,80.0,0.988
-31.848957100906816,3168.760065704584,79.28125,93.0,0.987
-159.70640566674052,1647.8494901955128,70.78125,81.0,0.986
-147.41249882370477,2113.6792428046465,87.0625,100.0,0.985
-270.1828350644333,2878.652408748865,91.71875,104.0,0.984
-154.09953974559255,1441.9759439826012,62.6875,70.0,0.983
-353.24555528483825,2128.5209895968437,75.6875,86.0,0.982
-183.89193637429938,3393.4386771917343,88.09375,101.0,0.981
-168.70332130694814,1298.7851833105087,89.1875,102.0,0.98
-177.34222064132243,1512.9400350153446,55.65625,62.0,0.979
-211.2073025995188,1564.3186043202877,77.25,86.0,0.978
-188.3335353095356,1428.1293469965458,79.25,93.0,0.977
-205.5177572882194,1242.0779490172863,66.96875,76.0,0.976
-161.70866965326343,1902.938122779131,76.53125,86.0,0.975
-212.17130272552916,930.6784293353558,63.78125,72.0,0.974
-296.760555035395,1970.055627912283,103.8125,115.0,0.973
-113.75810623871637,1048.100163936615,63.125,70.0,0.972
-314.8145284665427,1316.7667230963707,83.71875,94.0,0.971
-127.82503010717132,1339.851378440857,66.6875,76.0,0.97
-149.394149362649,1496.1567412018776,74.4375,85.0,0.969
-167.9777093447509,1623.8027016818523,84.8125,96.0,0.968
-185.35552009314173,1610.084923118353,84.90625,95.0,0.967
-237.42797031885573,760.2842914164066,65.59375,75.0,0.966
-113.69026244875847,827.2469655573368,54.625,61.0,0.965
-230.90352274732373,741.4168589711189,63.4375,71.0,0.964
-146.25100872322264,1070.3366989195347,84.0625,96.0,0.963
-377.4653884940258,1551.8197702169418,85.4375,99.0,0.962
-144.9161565730164,1565.282792598009,80.375,90.0,0.961
-267.8876794538203,976.9823836684227,81.3125,94.0,0.96
-223.26705310918203,776.2733284235001,83.40625,95.0,0.959
-175.72585745448654,1432.1500722765923,107.3125,126.0,0.958
-357.5093025811851,814.2753015458584,82.90625,96.0,0.957
-419.93627917587725,967.627467662096,81.375,93.0,0.956
-189.58835037671844,1303.6599517166615,93.1875,110.0,0.955
-211.50704222909798,1074.137328490615,90.4375,103.0,0.954
-159.77695635597203,2019.333059310913,108.0,126.0,0.953
-388.10858380704485,1201.2509676218033,79.5625,94.0,0.952
-382.60704176751733,1206.0253548622131,89.65625,104.0,0.951
-220.74795956734226,1057.0890220701694,81.03125,93.0,0.95
-279.2710964342987,960.8079049289227,64.96875,75.0,0.949
-232.83455042253127,1296.7776191234589,96.65625,112.0,0.948
-326.35737103355757,1048.1739060282707,89.0,103.0,0.947
-356.7536394897224,1306.984821677208,117.28125,136.0,0.946
-138.64338369495331,620.1976590752602,56.5625,65.0,0.945
-202.70435758178212,1044.5098623037338,63.0,73.0,0.944
-211.47641536807345,1626.1730511188507,104.8125,122.0,0.943
-142.7696685485997,1308.273086220026,71.90625,84.0,0.942
-119.56934723947587,1710.615907728672,111.03125,129.0,0.941
-114.4419498418512,883.0207066833973,86.21875,99.0,0.94
-114.3643643353834,1150.0462833344936,84.3125,95.0,0.939
-205.4699189698452,1234.7414577007294,101.71875,115.0,0.938
-121.82837516662413,590.7537227869034,53.0625,63.0,0.9369999999999999
-268.5271710458284,1054.3192623853683,85.8125,99.0,0.9359999999999999
-114.45986216209184,1095.561941921711,71.09375,81.0,0.9349999999999999
-147.84500634420687,792.8052513897419,91.3125,108.0,0.9339999999999999
-120.43475853515851,1674.7963265180588,133.1875,151.0,0.9329999999999999
-229.32036993785772,845.7643726170063,102.03125,118.0,0.9319999999999999
-133.45552620251658,726.1733504235744,57.65625,65.0,0.9309999999999999
-114.79865125741613,624.0647566318512,63.25,72.0,0.9299999999999999
-174.76764202055855,727.6193491071463,86.8125,99.0,0.9289999999999999
-290.6625535944423,790.8361515849829,87.78125,98.0,0.9279999999999999
